manual,goal,imaginal,visual,procedual,retrieval
147,84,101,105,1,37
111,109,105,77,97,114
138,137,126,127,113,142
80,68,130,105,104,107
132,110,149,55,133,97
140,145,122,120,138,127
113,124,102,128,67,116
100,123,135,119,124,115
70,132,123,130,144,122
118,95,149,135,129,141
115,141,135,79,54,148
135,83,94,132,143,142
60,104,80,126,135,38
147,139,145,136,142,118
137,113,104,118,109,136
76,100,80,71,143,136
110,89,103,74,85,73
1,135,54,126,134,73
101,101,110,1,143,144
46,129,101,82,148,90
133,102,141,77,91,137
109,117,62,102,57,146
111,109,147,126,68,101
142,128,147,118,149,142
140,96,93,132,136,116
127,127,88,126,131,114
114,45,88,137,108,124
120,85,127,149,147,149
